Title,Start,End,Venue,Price
Baking Club - 31 March 2024,2024-03-31 18:30,2024-03-31 21:00,JVS,10.0
Blessed hands,2025-07-27 14:00,2025-07-27 17:00,JVS,30.0
Community Friday Night Dinner: 21st February 2025,2025-02-21 18:30,2025-02-21 21:30,JVS,15.0
Community Gardening Club,2025-05-04 14:00,,JVS,0.0
Community Gardening Club 13th July,2025-07-13 10:30,2025-07-13 13:00,JVS,0.0
Community Gardening Club 27th July,2025-07-27 11:00,2025-07-27 12:30,JVS,0.0
Community Gardening Club 29th June,2025-06-29 10:30,2025-06-29 12:00,JVS,0.0
Community Spring Friday Night Dinner: 25th April,2025-04-25 18:30,2025-04-25 21:30,JVS,15.0
Community planning brunch,2024-12-15 11:00,2024-12-15 14:00,JVS,8.0
Cook and brunch together,2024-12-15 10:30,2024-12-15 14:00,JVS,15.0
Friday Night Dinner - 05 April 2024,2024-04-05 18:30,2024-04-05 21:30,JVS,22.0
Friday Night Dinner - 29th November,2024-11-29 18:30,2024-11-29 21:30,JVS,15.0
Garden to Plate Cooking and Dinner 11th August,2025-08-11 18:00,2025-08-11 21:00,JVS,5.0
Garden to plate lunch 3rd August,2025-08-03 11:00,2025-08-03 14:00,JVS,0.0
Gujarati Feast - A Taste of North India: 24th January 2025,2025-01-24 18:00,2025-01-24 21:00,JVS,25.0
Let's make cheesecake for Shavuot,2025-05-30 14:30,2025-05-30 17:00,JVS,0.0
Let's make vegan hamantaschen - 12 March 2025,2025-03-12 18:00,2025-03-12 21:00,JVS,8.0
Let's make vegan hamantaschen - 21 March 2024,2024-03-21 18:00,2024-03-21 21:00,JVS,6.0
Pre-Pesach Foraging - 21 April 2024,2024-04-21 10:00,2024-04-21 13:00,JVS,14.0
Pre-Pesach Foraging - 6th April,2025-04-06 10:00,2025-04-06 13:00,JVS,14.0
Pride Friday Night Dinner: 4th July,2025-07-04 18:30,2025-07-04 21:30,JVS,15.0
Rosh Hashanah Seder and Dinner,2025-09-22 18:30,2025-09-22 21:30,JVS,20.0
Seed Sowing Session,2025-03-25 18:30,,JVS,5.0
Shavuot garden party,2025-06-01 15:00,2025-06-01 17:00,JVS,12.0
Six Inches of Soil Screening and Q and A,2025-02-09 18:30,,JVS,10.0
Summer social: falafel and drinks,2025-08-27 18:30,2025-08-27 21:30,JVS,18.0
Veganuary Cooking Class,2025-01-12 11:30,2025-01-12 15:00,JVS,20.0
